,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,2016,1,1,0,30,0,0,0,0.4,-3.0,160.3
1,2016,1,1,1,30,0,0,0,0.4,-3.0,153.79
2,2016,1,1,2,30,0,0,0,0.4,-3.0,144.05
3,2016,1,1,3,30,0,0,0,0.4,-3.0,133.2
4,2016,1,1,4,30,0,0,0,0.4,-3.0,122.06
5,2016,1,1,5,30,0,0,0,0.4,-3.0,111.02
6,2016,1,1,6,30,0,0,0,0.4,-4.0,100.36
7,2016,1,1,7,30,0,0,0,0.4,-3.0,90.37
8,2016,1,1,8,30,16,16,0,0.6000000000000001,-2.0,81.4
9,2016,1,1,9,30,35,35,0,0.7000000000000001,-1.0,73.89
10,2016,1,1,10,30,61,61,0,0.7000000000000001,0.0,68.36
11,2016,1,1,11,30,47,47,0,0.7000000000000001,0.0,65.34
12,2016,1,1,12,30,140,140,0,0.8,0.0,65.19
13,2016,1,1,13,30,114,114,0,0.8,-1.0,67.94
14,2016,1,1,14,30,83,83,0,0.7000000000000001,-1.0,73.25
15,2016,1,1,15,30,41,41,0,0.6000000000000001,-2.0,80.60000000000001
16,2016,1,1,16,30,0,0,0,0.6000000000000001,-3.0,89.44
17,2016,1,1,17,30,0,0,0,0.6000000000000001,-4.0,99.35
18,2016,1,1,18,30,0,0,0,0.7000000000000001,-5.0,109.95
19,2016,1,1,19,30,0,0,0,0.7000000000000001,-5.0,120.97
20,2016,1,1,20,30,0,0,0,0.7000000000000001,-4.0,132.11
21,2016,1,1,21,30,0,0,0,0.7000000000000001,-4.0,143.01
22,2016,1,1,22,30,0,0,0,0.7000000000000001,-4.0,152.9
23,2016,1,1,23,30,0,0,0,0.7000000000000001,-4.0,159.85
24,2016,1,2,0,30,0,0,0,0.7000000000000001,-4.0,160.25
25,2016,1,2,1,30,0,0,0,0.6000000000000001,-5.0,153.79
26,2016,1,2,2,30,0,0,0,0.6000000000000001,-5.0,144.08
27,2016,1,2,3,30,0,0,0,0.6000000000000001,-5.0,133.24
28,2016,1,2,4,30,0,0,0,0.5,-6.0,122.1
29,2016,1,2,5,30,0,0,0,0.5,-6.0,111.05
30,2016,1,2,6,30,0,0,0,0.5,-6.0,100.38
31,2016,1,2,7,30,0,0,0,0.6000000000000001,-5.0,90.38
32,2016,1,2,8,30,51,51,0,0.6000000000000001,-4.0,81.4
