congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,157,0.974522292993631,0.95865447,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,62,0.983870967741935,0.97750938,63
0,house,A000367,Amash,MI,3,Independent,157,0.630573248407643,0.75860812,9.4
115,house,A000367,Amash,MI,3,R,96,0.541666666666667,0.84738551,9.4
116,house,A000367,Amash,MI,3,I,59,0.76271186440678,0.64434614,9.4
116,house,A000367,Amash,MI,3,R,2,1,0.59582585,9.4
0,house,A000369,Amodei,NV,2,Republican,157,0.974522292993631,0.81112801,12.3
115,house,A000369,Amodei,NV,2,R,94,0.98936170212766,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,63,0.952380952380952,0.71354893,12.3
0,house,A000370,Adams,NC,12,Democrat,156,0.115384615384615,0.13487894,-40
115,house,A000370,Adams,NC,12,D,92,0.173913043478261,0.20378724,-40
116,house,A000370,Adams,NC,12,D,64,0.03125,0.03582326,-40
0,house,A000371,Aguilar,CA,31,Democrat,157,0.184713375796178,0.20845378,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.276595744680851,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,63,0.0476190476190476,0.05116963,-21.1
0,house,A000372,Allen,GA,12,Republican,160,0.96875,0.8726062,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,65,0.969230769230769,0.82410795,16.2
0,house,A000374,Abraham,LA,5,Republican,136,0.941176470588235,0.9412356,29.4
115,house,A000374,Abraham,LA,5,R,96,0.927083333333333,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,40,0.975,0.93018625,29.4
0,house,A000375,Arrington,TX,19,Republican,159,0.962264150943396,0.95865808,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,64,0.953125,0.97208869,49
0,house,A000376,Allred,TX,32,Democrat,64,0.0625,0.18586474,-1.9
116,house,A000376,Allred,TX,32,D,64,0.0625,0.18586474,-1.9
0,house,A000377,Armstrong,ND,0,Republican,63,0.936507936507937,0.95893032,35.72888837
116,house,A000377,Armstrong,ND,0,R,63,0.936507936507937,0.95893032,35.72888837
0,house,A000378,Axne,IA,3,Democrat,65,0.0615384615384615,0.35483291,3.5
116,house,A000378,Axne,IA,3,D,65,0.0615384615384615,0.35483291,3.5
0,house,B000213,Barton,TX,6,Republican,92,0.923913043478261,0.87643124,12.3
115,house,B000213,Barton,TX,6,R,92,0.923913043478261,0.87643124,12.3
0,house,B000287,Becerra,CA,34,Democrat,1,0,1.4e-7,-72.9
115,house,B000287,Becerra,CA,34,D,1,0,1.4e-7,-72.9
0,house,B000490,Bishop,GA,2,Democrat,157,0.286624203821656,0.29804224,-11.7
115,house,B000490,Bishop,GA,2,D,93,0.451612903225806,0.45128279,-11.7
116,house,B000490,Bishop,GA,2,D,64,0.046875,0.07536456,-11.7
0,house,B000574,Blumenauer,OR,3,Democrat,155,0.116129032258065,0.12590948,-48.2
115,house,B000574,Blumenauer,OR,3,D,91,0.175824175824176,0.19149721,-48.2
116,house,B000574,Blumenauer,OR,3,D,64,0.03125,0.03265191,-48.2
0,house,B000755,Brady,TX,8,Republican,158,0.987341772151899,0.95849267,48.8
115,house,B000755,Brady,TX,8,R,96,0.989583333333333,0.95016617,48.8
116,house,B000755,Brady,TX,8,R,62,0.983870967741935,0.97138532,48.8
0,house,B001227,Brady,PA,1,Democrat,93,0.172043010752688,0.16459382,-61.3
115,house,B001227,Brady,PA,1,D,93,0.172043010752688,0.16459382,-61.3
115,house,B001243,Blackburn,TN,7,R,87,0.919540229885057,0.94563949,39.3
0,house,B001248,Burgess,TX,26,Republican,158,0.955696202531646,0.93846973,26.5
115,house,B001248,Burgess,TX,26,R,94,0.957446808510638,0.94107564,26.5
116,house,B001248,Burgess,TX,26,R,64,0.953125,0.9346423,26.5
0,house,B001250,Bishop,UT,1,Republican,155,0.961290322580645,0.94074289,27.3
115,house,B001250,Bishop,UT,1,R,93,0.956989247311828,0.94214025,27.3
116,house,B001250,Bishop,UT,1,R,62,0.967741935483871,0.93864685,27.3
0,house,B001251,Butterfield,NC,1,Democrat,158,0.139240506329114,0.14336878,-37
115,house,B001251,Butterfield,NC,1,D,94,0.212765957446809,0.21569132,-37
116,house,B001251,Butterfield,NC,1,D,64,0.03125,0.03714504,-37
0,house,B001257,Bilirakis,FL,12,Republican,159,0.955974842767296,0.89914095,18.6
115,house,B001257,Bilirakis,FL,12,R,95,0.978947368421053,0.92184181,18.6
116,house,B001257,Bilirakis,FL,12,R,64,0.921875,0.86544435,18.6
0,house,B001260,Buchanan,FL,16,Republican,153,0.928104575163399,0.77841058,10.7
115,house,B001260,Buchanan,FL,16,R,90,0.966666666666667,0.86069026,10.7
116,house,B001260,Buchanan,FL,16,R,63,0.873015873015873,0.66086818,10.7
0,house,B001269,Barletta,PA,11,Republican,92,0.978260869565217,0.93672465,23.8
115,house,B001269,Barletta,PA,11,R,92,0.978260869565217,0.93672465,23.8
0,house,B001270,Bass,CA,37,Democrat,148,0.0878378378378378,0.09380663,-76.1
115,house,B001270,Bass,CA,37,D,87,0.126436781609195,0.14088039,-76.1
116,house,B001270,Bass,CA,37,D,61,0.0327868852459016,0.02666864,-76.1
0,house,B001273,Black,TN,6,Republican,78,0.935897435897436,0.95902609,48.9
115,house,B001273,Black,TN,6,R,78,0.935897435897436,0.95902609,48.9
0,house,B001274,Brooks,AL,5,Republican,157,0.89171974522293,0.95093706,33.4
115,house,B001274,Brooks,AL,5,R,92,0.83695652173913,0.94722233,33.4
116,house,B001274,Brooks,AL,5,R,65,0.969230769230769,0.95619484,33.4
0,house,B001275,Bucshon,IN,8,Republican,157,0.968152866242038,0.95095403,33.7
115,house,B001275,Bucshon,IN,8,R,96,0.989583333333333,0.94905825,33.7
116,house,B001275,Bucshon,IN,8,R,61,0.934426229508197,0.95393756,33.7
0,house,B001278,Bonamici,OR,1,Democrat,160,0.13125,0.19412631,-22.8
115,house,B001278,Bonamici,OR,1,D,95,0.2,0.29451476,-22.8
116,house,B001278,Bonamici,OR,1,D,65,0.0307692307692308,0.04740473,-22.8
0,house,B001281,Beatty,OH,3,Democrat,153,0.130718954248366,0.13919689,-38.4
115,house,B001281,Beatty,OH,3,D,92,0.195652173913043,0.2060699,-38.4
116,house,B001281,Beatty,OH,3,D,61,0.0327868852459016,0.03833924,-38.4
0,house,B001282,Barr,KY,6,Republican,160,0.9625,0.86148768,15.3
115,house,B001282,Barr,KY,6,R,96,0.96875,0.90105912,15.3
116,house,B001282,Barr,KY,6,R,64,0.953125,0.80213052,15.3
0,house,B001283,Bridenstine,OK,1,Republican,52,0.942307692307692,0.95711151,28.7
115,house,B001283,Bridenstine,OK,1,R,52,0.942307692307692,0.95711151,28.7
0,house,B001284,Brooks,IN,5,Republican,160,0.9625,0.80542335,11.8
115,house,B001284,Brooks,IN,5,R,96,0.989583333333333,0.87293384,11.8
116,house,B001284,Brooks,IN,5,R,64,0.921875,0.70415762,11.8
0,house,B001285,Brownley,CA,26,Democrat,157,0.210191082802548,0.19611094,-21.9
115,house,B001285,Brownley,CA,26,D,92,0.326086956521739,0.30034879,-21.9
116,house,B001285,Brownley,CA,26,D,65,0.0461538461538462,0.0485743,-21.9
0,house,B001286,Bustos,IL,17,Democrat,160,0.2375,0.52264464,0.7
115,house,B001286,Bustos,IL,17,D,95,0.368421052631579,0.70528738,0.7
116,house,B001286,Bustos,IL,17,D,65,0.0461538461538462,0.25570525,0.7
0,house,B001287,Bera,CA,7,Democrat,161,0.248447204968944,0.30321475,-11.4
115,house,B001287,Bera,CA,7,D,96,0.385416666666667,0.45691205,-11.4
116,house,B001287,Bera,CA,7,D,65,0.0461538461538462,0.07621566,-11.4
0,house,B001289,Byrne,AL,1,Republican,156,0.967948717948718,0.94519702,29.4
115,house,B001289,Byrne,AL,1,R,96,0.958333333333333,0.9458395,29.4
116,house,B001289,Byrne,AL,1,R,60,0.983333333333333,0.94416906,29.4
0,house,B001290,Brat,VA,7,Republican,95,0.884210526315789,0.80768775,6.5
115,house,B001290,Brat,VA,7,R,95,0.884210526315789,0.80768775,6.5
0,house,B001291,Babin,TX,36,Republican,156,0.961538461538462,0.95889857,46.8
115,house,B001291,Babin,TX,36,R,94,0.946808510638298,0.95172585,46.8
116,house,B001291,Babin,TX,36,R,62,0.983870967741935,0.96977334,46.8
0,house,B001292,Beyer,VA,8,Democrat,156,0.134615384615385,0.11145287,-52.6
115,house,B001292,Beyer,VA,8,D,91,0.197802197802198,0.16911584,-52.6
116,house,B001292,Beyer,VA,8,D,65,0.0461538461538462,0.03072472,-52.6
0,house,B001293,Bishop,MI,8,Republican,95,0.978947368421053,0.81057761,6.7
115,house,B001293,Bishop,MI,8,R,95,0.978947368421053,0.81057761,6.7
0,house,B001294,Blum,IA,1,Republican,93,0.924731182795699,0.76057766,3.5
115,house,B001294,Blum,IA,1,R,93,0.924731182795699,0.76057766,3.5
0,house,B001295,Bost,IL,12,Republican,160,0.9625,0.85423477,14.8
115,house,B001295,Bost,IL,12,R,95,0.989473684210526,0.89727638,14.8
116,house,B001295,Bost,IL,12,R,65,0.923076923076923,0.79132781,14.8
0,house,B001296,Boyle,PA,2,Democrat,159,0.132075471698113,0.14833733,-48
115,house,B001296,Boyle,PA,13,D,94,0.202127659574468,0.22863067,-33.6
116,house,B001296,Boyle,PA,2,D,65,0.0307692307692308,0.03222081,-48
0,house,B001297,Buck,CO,4,Republican,157,0.878980891719745,0.92672666,23.1
115,house,B001297,Buck,CO,4,R,94,0.851063829787234,0.93541675,23.1
116,house,B001297,Buck,CO,4,R,63,0.920634920634921,0.91376048,23.1
0,house,B001298,Bacon,NE,2,Republican,161,0.944099378881988,0.56286353,2.2
115,house,B001298,Bacon,NE,2,R,96,0.979166666666667,0.73689927,2.2
116,house,B001298,Bacon,NE,2,R,65,0.892307692307692,0.30582613,2.2
0,house,B001299,Banks,IN,3,Republican,161,0.950310559006211,0.95343155,35
115,house,B001299,Banks,IN,3,R,96,0.947916666666667,0.94963284,35
116,house,B001299,Banks,IN,3,R,65,0.953846153846154,0.95904195,35
0,house,B001300,Barragán,CA,44,Democrat,159,0.106918238993711,0.10007077,-70.7
115,house,B001300,Barragán,CA,44,D,94,0.170212765957447,0.15122911,-70.7
116,house,B001300,Barragán,CA,44,D,65,0.0153846153846154,0.02608794,-70.7
0,house,B001301,Bergman,MI,1,Republican,158,0.968354430379747,0.91849407,21.3
115,house,B001301,Bergman,MI,1,R,95,0.968421052631579,0.92923049,21.3
116,house,B001301,Bergman,MI,1,R,63,0.968253968253968,0.90230424,21.3
0,house,B001302,Biggs,AZ,5,Republican,160,0.81875,0.9163335,21.1
115,house,B001302,Biggs,AZ,5,R,96,0.729166666666667,0.92917335,21.1
116,house,B001302,Biggs,AZ,5,R,64,0.953125,0.89707372,21.1
0,house,B001303,Blunt Rochester,DE,0,Democrat,157,0.178343949044586,0.29472756,-11.43051247
115,house,B001303,Blunt Rochester,DE,0,D,92,0.271739130434783,0.44921655,-11.43051247
116,house,B001303,Blunt Rochester,DE,0,D,65,0.0461538461538462,0.07606624,-11.43051247
0,house,B001304,Brown,MD,4,Democrat,157,0.121019108280255,0.10576332,-57.5
115,house,B001304,Brown,MD,4,D,92,0.195652173913043,0.15979619,-57.5
116,house,B001304,Brown,MD,4,D,65,0.0153846153846154,0.02928603,-57.5
0,house,B001305,Budd,NC,13,Republican,158,0.924050632911392,0.75994941,9.4
115,house,B001305,Budd,NC,13,R,95,0.894736842105263,0.85624197,9.4
